V1,V2,query,origin,accession,taxonomy,abbreviation,abbreviation2,gc,coverage,sample_origin,bin_size,kingdom,group,phylum,class,order,family,genus
-0.0420479177643584,-0.00297287735385534,hu-genome19,BIN,>gi|973126483|gb|LGGQ01000001.1|,Microgenomates bacterium 39_7 ,M. bacterium 39_7 ,M. bacterium,39,7,SB1,703K,bacteria,,Candidatus Microgenomates,,,,
0.00176758426396828,-0.000775490777496604,hu-genome19,BIN,>gi|973126483|gb|LGGQ01000001.1|,Microgenomates bacterium 39_7 ,M. bacterium 39_7 ,M. bacterium,39,7,SB1,703K,bacteria,,Candidatus Microgenomates,,,,
0.0372009311590773,-0.00167957816061265,hu-genome23,BIN,>gi|973118751|gb|LGGM01000001.1|,Clostridiales bacterium 38_11 ,C. bacterium 38_11 ,C. bacterium,38,11,SB1,1.8M,bacteria,terrabacteria,Firmicutes,Clostridia,Clostridiales,,
0.0657093037672322,0.100496823765833,hu-genome24,BIN,>gi|973115486|gb|LGGJ01000001.1|,Methanocalculus sp. 52_23 ,Methanocalculus sp. 52_23 ,Methanocalculus sp.,52,23,SB1,1.9M,archaea,,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocalculaceae,Methanocalculus
-0.0113335006002465,0.00732729689622396,hu-genome25,BIN,>gi|973115441|gb|LGGK01000001.1|,Anaerolineae bacterium 49_20 ,A. bacterium 49_20 ,An. Bacterium,49,20,SB1,1.0M,bacteria,terrabacteria,Chloroflexi,Anaerolineae,,,
-0.000877045355664764,-0.0229383815098623,hu-genome25,BIN,>gi|973115441|gb|LGGK01000001.1|,Anaerolineae bacterium 49_20 ,A. bacterium 49_20 ,An. Bacterium,49,20,SB1,1.0M,bacteria,terrabacteria,Chloroflexi,Anaerolineae,,,
0.0449980113275347,0.0409306764034348,hu-genome26,BIN,>gi|973112280|gb|LGGH01000001.1|,Mesotoga infera isolate 46_47 ,M. infera isolate 46_47 ,M. infera,46,47,SB1,1.2M,bacteria,,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga
-0.323749960952548,-0.0218422100392011,hu-genome27,BIN,>gi|973110956|gb|LGGI01000001.1|,Candidate division WS6 bacterium 36_33 ,WS6 bacterium 36_33 ,WS6 bacterium 2,36,33,SB1,439K,bacteria,candidate phyla,,,,,
0.0524168462387672,-0.0158447953071959,hu-genome33,BIN,>gi|973101184|gb|LGGB01000001.1|,Synergistales bacterium 53_16 ,S. bacterium 53_16 ,S. bacterium,53,16,SB1,1.7M,bacteria,,Synergistetes,Synergistia,Syntergistales,,
0.0599632490382657,0.0156427589585019,hu-genome34,BIN,>gi|973097275|gb|LGGA01000001.1|,Atribacteria bacterium 34_128 ,A. bacterium 34_128 ,At. Bacterium,34,128,SB1,883K,bacteria,candidate phyla,,,,,
0.0619175112521553,-0.00131285564967622,hu-genome35,BIN,>gi|973097089|gb|LGFY01000001.1|,Marinimicrobia bacterium 46_47 ,M. bacterium 46_47 ,M. bacterium,46,47,SB1,1.6M,bacteria,FCB group,Candidatus Marinimicrobia,,,,
0.159896697003136,0.102713489585269,hu-genome36,BIN,>gi|973095283|gb|LGFZ01000001.1|,Desulfotomaculum sp. 46_296 ,Desulfotomaculum sp. 46_296 ,Desulfotomaculum sp.,46,296,SB1,2.2M,bacteria,terrabacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum
0.154229275952877,0.1041592581967,hu-genome36,BIN,>gi|973095283|gb|LGFZ01000001.1|,Desulfotomaculum sp. 46_296 ,Desulfotomaculum sp. 46_296 ,Desulfotomaculum sp.,46,296,SB1,2.2M,bacteria,terrabacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum
0.0409448981735217,0.00628429241624471,hu-genome37,BIN,>gi|973091715|gb|LGFX01000001.1|,Candidate division TA06 bacterium 32_111 ,TA06 bacterium 32_111 ,TA06 bacterium,32,111,SB1,1.8M,bacteria,candidate phyla,,,,,
-0.0368799857026521,0.0322493792439297,hu-genome38,BIN,>gi|973090209|gb|LGFW01000001.1|,Parcubacteria bacterium 33_209 ,P. bacterium 33_209 ,P. bacterium,33,209,SB1,509K,bacteria,,Candidatus Parcubacteria,,,,
0.0986727572053647,-0.0416774788422843,hu-genome39,BIN,>gi|973089069|gb|LGFV01000001.1|,Actinobacteria bacterium 66_15 ,A. bacterium 66_15 ,Ac. Bacterium,66,15,SB1,2.1M,bacteria,terrabacteria,Actinobacteria,Actinobacteria,,,
-0.0205484900134681,0.0238689276976411,hu-genome40,BIN,>gi|973086334|gb|LGFU01000001.1|,Anaerolinea thermophila isolate 46_16 ,A. thermophila isolate 46_16 ,An. Thermophila,46,16,SB1,1.5M,bacteria,terrabacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
0.120069398623907,-0.275415740028505,hu-genome41,BIN,>gi|973084119|gb|LGFT01000001.1|,Methanosaeta harundinacea isolate 57_489 ,M. harundinacea isolate 57_489 ,M. harundinacea,57,489,SB1,2.3M,archaea,,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanothrix
-0.0396053837941946,-0.00189664440227938,hu-genome19,hu,>gi|973126483|gb|LGGQ01000001.1|,Microgenomates bacterium 39_7 ,M. bacterium 39_7 ,M. bacterium,39,7,SB1,703K,bacteria,,Candidatus Microgenomates,,,,
-0.0416661735159605,-0.00229005440944845,hu-genome19,hu,>gi|973126483|gb|LGGQ01000001.1|,Microgenomates bacterium 39_7 ,M. bacterium 39_7 ,M. bacterium,39,7,SB1,703K,bacteria,,Candidatus Microgenomates,,,,
0.0134752477888451,0.0486890266775657,hu-genome19,hu,>gi|973126483|gb|LGGQ01000001.1|,Microgenomates bacterium 39_7 ,M. bacterium 39_7 ,M. bacterium,39,7,SB1,703K,bacteria,,Candidatus Microgenomates,,,,
-0.002721923042317,0.0264932652694561,hu-genome20,hu,>gi|973124867|gb|LGGN01000001.1|,Proteiniphilum acetatigenes isolate 50_10 ,P. acetatigenes isolate 50_10 ,P. acetatigenes,50,10,SB1,1.7M,bacteria,FCB group,Bacteriodetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Proteiniphilum
